Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,10.340000,10.390000,9.800000,10.170000,9.414139,49769900
2018-10-08,9.970000,10.070000,9.460000,9.740000,9.016098,71422500
2018-10-15,9.850000,10.520000,9.350000,9.580000,8.867990,95217100
2018-10-22,9.570000,9.580000,8.850000,9.020000,8.349611,49337600
2018-10-29,9.080000,9.540000,8.880000,9.250000,8.653251,52552100
2018-11-05,9.290000,9.690000,9.290000,9.490000,8.877767,32808600
2018-11-12,9.420000,9.470000,9.160000,9.330000,8.728089,30766100
2018-11-19,9.330000,9.330000,8.950000,9.090000,8.503573,24313200
2018-11-26,9.070000,9.890000,9.060000,9.860000,9.223897,48318400
2018-12-03,9.910000,10.050000,9.650000,9.690000,9.064864,51240700
2018-12-10,9.550000,10.010000,9.430000,9.890000,9.251962,36908300
2018-12-17,9.820000,9.830000,9.100000,9.100000,8.512929,67273300
2018-12-24,9.190000,9.500000,9.070000,9.430000,8.821639,34269900
2018-12-31,9.470000,9.730000,9.390000,9.630000,9.008737,33572200
2019-01-07,9.700000,10.680000,9.660000,10.410000,9.738415,81241500
2019-01-14,10.180000,10.690000,10.130000,10.670000,9.981642,78113700
2019-01-21,10.640000,10.680000,10.410000,10.550000,9.869383,34012600
2019-01-28,10.490000,10.930000,10.420000,10.900000,10.252300,37495500
2019-02-04,10.830000,10.940000,10.790000,10.860000,10.214677,31073200
2019-02-11,10.860000,10.890000,10.620000,10.760000,10.120621,39475000
2019-02-18,10.470000,10.730000,10.380000,10.630000,9.998345,31694700
2019-02-25,10.830000,10.920000,10.570000,10.840000,10.195865,35764900
2019-03-04,10.850000,10.870000,10.360000,10.470000,9.847852,31703000
2019-03-11,10.480000,10.770000,10.460000,10.700000,10.064185,38509500
2019-03-18,10.700000,11.120000,10.680000,10.880000,10.233489,34282400
2019-03-25,10.860000,11.030000,10.670000,10.930000,10.280518,28686700
2019-04-01,11.070000,11.360000,11.000000,11.320000,10.647343,35762300
2019-04-08,11.280000,11.380000,10.450000,10.550000,9.923098,83064200
2019-04-15,10.610000,10.610000,10.340000,10.390000,9.772605,66005700
2019-04-22,10.440000,10.700000,10.390000,10.650000,10.017155,45239100
2019-04-29,10.690000,10.880000,10.070000,10.330000,9.716171,67698400
2019-05-06,10.310000,10.520000,10.110000,10.260000,9.650331,75378300
2019-05-13,10.170000,10.560000,10.040000,10.170000,9.565680,51736400
2019-05-20,10.310000,10.360000,10.010000,10.230000,9.622112,56345900
2019-05-27,10.400000,10.600000,10.230000,10.470000,9.847852,41047600
2019-06-03,10.560000,10.680000,10.410000,10.630000,9.998345,42835000
2019-06-10,10.760000,10.900000,10.540000,10.600000,9.970127,36041000
2019-06-17,10.520000,10.830000,10.470000,10.720000,10.225011,56024400
2019-06-24,10.720000,10.770000,10.520000,10.700000,10.205935,33221000
2019-07-01,10.700000,10.790000,10.540000,10.690000,10.196396,41611900
2019-07-08,10.600000,11.560000,10.370000,11.400000,10.873611,109218500
2019-07-15,11.500000,11.640000,11.380000,11.390000,10.864074,51200000
2019-07-22,11.450000,11.560000,11.440000,11.480000,10.949918,33557900
2019-07-29,11.550000,11.550000,11.050000,11.080000,10.568389,51392100
2019-08-05,10.990000,11.350000,10.840000,11.130000,10.616079,54661700
2019-08-12,11.060000,11.130000,10.770000,11.070000,10.558849,49731900
2019-08-19,11.060000,11.450000,11.060000,11.110000,10.597002,46568300
2019-08-26,11.210000,11.500000,11.080000,11.490000,10.959457,36593500
2019-09-02,11.390000,12.080000,11.220000,11.810000,11.264681,63106000
2019-09-09,11.770000,11.870000,11.490000,11.770000,11.226528,42366300
2019-09-16,11.590000,11.760000,11.350000,11.350000,10.825922,48105700
2019-09-23,10.980000,11.260000,10.810000,11.210000,10.692385,70260600
2019-09-30,11.330000,11.420000,10.940000,11.220000,10.701923,45695500
2019-10-07,11.160000,11.310000,10.940000,10.970000,10.463467,71224800
2019-10-14,10.930000,10.950000,10.490000,10.570000,10.081936,166728500
2019-10-21,8.940000,9.430000,8.760000,9.200000,8.775196,204199400
2019-10-28,9.190000,9.730000,9.150000,9.520000,9.192231,91630500
2019-11-04,9.830000,10.120000,9.660000,9.680000,9.346723,90778600
2019-11-11,9.750000,9.920000,9.590000,9.860000,9.520524,52397900
2019-11-18,9.860000,9.980000,9.580000,9.600000,9.269477,59497200
2019-11-25,9.710000,9.880000,9.650000,9.830000,9.491558,50385800
